id,created_at,updated_at,post_id,prolific_id,session_id,condition,label
267,2024-10-15 18:19:58.401400+00:00,2024-10-15 18:19:58.401485+00:00,2547,5be87ae193ca1f00014dae06,670eb1beb4e438ae46a92e25,label,6
268,2024-10-15 18:20:20.716416+00:00,2024-10-15 18:20:20.716506+00:00,2488,61194d67cf13024bcdf7c246,670eb204e341c60d7f3d501a,label,5
269,2024-10-15 18:20:57.561302+00:00,2024-10-15 18:20:57.561390+00:00,2121,66ac44baacb76e7670d204c3,670eb129e386a9adcb2b7c26,label,2
270,2024-10-15 18:21:10.386138+00:00,2024-10-15 18:21:10.386222+00:00,2512,60a2743299a0c895f50925f4,670eb1f48fe0dcf7d20383a6,label,6
271,2024-10-15 18:21:20.166626+00:00,2024-10-15 18:21:20.166712+00:00,2957,668c8ffbae575baf6cad36f7,670eb253adeaba7e7fe6fb69,label,6
272,2024-10-15 18:21:30.640726+00:00,2024-10-15 18:21:30.640826+00:00,2756,66c3355a86071e68ef1348bd,670eb205d518bfe7c1540acf,label,6
273,2024-10-15 18:22:10.716537+00:00,2024-10-15 18:22:10.716624+00:00,2919,6633939b0b26817c2749943d,670eb1f6b09e594baa1d6a91,label,3
274,2024-10-15 18:22:11.815400+00:00,2024-10-15 18:22:11.815578+00:00,2216,6266db0dcf3e4f16fb9d7c56,670eb277b55428b663ade0dd,no label,4
275,2024-10-15 18:22:24.115428+00:00,2024-10-15 18:22:24.115513+00:00,2011,6522387d2f89e98982a7f577,670eb271b09e594baa1d6aa9,no label,2
276,2024-10-15 18:22:36.619754+00:00,2024-10-15 18:22:36.619859+00:00,2497,662938ec62f9ac2aad645a17,670eb237b55428b663ade0c8,label,3
277,2024-10-15 18:22:57.041064+00:00,2024-10-15 18:22:57.041147+00:00,2886,66feb5f0d1dcc423a7ab5651,670eb284abf269e04ba2c688,label,6
278,2024-10-15 18:23:01.640149+00:00,2024-10-15 18:23:01.640235+00:00,2935,664d68084aff042dd5ad8ef5,670eb272578dbcda3b027454,no label,5
279,2024-10-15 18:23:35.571353+00:00,2024-10-15 18:23:35.571439+00:00,2463,65e015a72f13533a1e7a3148,670eb2dfc55710ab3241edbe,no label,2
280,2024-10-15 18:23:53.779045+00:00,2024-10-15 18:23:53.779138+00:00,2160,5b2eae5577b17f0001c037af,670eb2c223045ccbdb79f02b,label,5
281,2024-10-15 18:24:48.718880+00:00,2024-10-15 18:24:48.718966+00:00,2461,6638eddfb94067b206c24cdb,670eb26e2bf7fc2c432439b0,no label,7
282,2024-10-15 18:24:53.053930+00:00,2024-10-15 18:24:53.054013+00:00,2516,66da277f4821d69a263c07c6,670eb307152066063b12e8f8,label,6
